id,weight,date,employed,gender,age,race
71,45.888,2011-08-01,not employed,female,senior,visible minority
72,11.317,2011-08-01,employed,female,youth,caucasian
73,11.317,2011-08-01,employed,female,middle age,caucasian
74,46.81,2011-08-01,employed,female,middle age,NA
75,20.201,2011-08-01,not employed,male,middle age,caucasian
76,5.117,2011-09-01,employed,male,middle age,caucasian
77,38.498,2011-09-01,not employed,male,middle age,caucasian
78,37.841,2011-09-01,not employed,male,middle age,NA
79,7.462,2011-09-01,employed,male,middle age,aboriginal
80,5.117,2011-09-01,employed,female,middle age,caucasian
81,5.117,2011-09-01,employed,female,middle age,caucasian
82,7.462,2011-09-01,not employed,male,youth,caucasian
83,5.117,2011-09-01,NA,male,middle age,caucasian
84,38.804,2011-09-01,employed,male,middle age,aboriginal
85,38.498,2011-09-01,employed,female,middle age,caucasian
86,5.117,2011-09-01,employed,male,middle age,aboriginal
87,5.117,2011-09-01,employed,male,youth,caucasian
88,5.117,2011-09-01,employed,female,middle age,visible minority
89,5.117,2011-09-01,employed,female,middle age,caucasian
90,24.302,2011-10-01,employed,female,middle age,caucasian
91,11.624,2011-10-01,not employed,male,youth,caucasian
92,9.184,2011-10-01,employed,female,middle age,caucasian
93,9.184,2011-10-01,employed,female,middle age,visible minority
94,15.691,2011-10-01,employed,female,middle age,visible minority
95,12.115,2011-10-01,not employed,female,middle age,caucasian
96,4.752,2011-10-01,employed,female,senior,caucasian
97,4.752,2011-10-01,employed,female,middle age,caucasian
98,14.175,2011-11-01,employed,female,middle age,caucasian
99,14.175,2011-11-01,employed,male,senior,caucasian
100,14.175,2011-11-01,employed,female,middle age,caucasian
101,20.916,2011-11-01,employed,female,youth,NA
102,14.175,2011-11-01,not employed,male,senior,aboriginal
103,17.773,2011-11-01,not employed,male,middle age,caucasian
104,14.175,2011-11-01,NA,female,youth,aboriginal
105,29.795,2011-11-01,employed,female,senior,caucasian
106,20.916,2011-11-01,employed,female,middle age,caucasian
107,16.998,2011-11-01,not employed,male,middle age,caucasian
108,30.86,2011-11-01,not employed,male,middle age,caucasian
109,16.368,2011-12-01,not employed,male,middle age,caucasian
110,5.356,2011-12-01,employed,female,senior,caucasian
111,5.356,2011-12-01,employed,female,senior,caucasian
112,16.368,2011-12-01,employed,male,senior,NA
113,16.416,2011-12-01,employed,female,middle age,caucasian
114,5.356,2011-12-01,not employed,female,youth,visible minority
115,16.475,2011-12-01,not employed,female,middle age,caucasian
116,16.416,2011-12-01,employed,female,middle age,aboriginal
117,16.475,2011-12-01,not employed,male,middle age,caucasian
118,16.475,2011-12-01,employed,female,middle age,caucasian
119,5.356,2011-12-01,employed,female,middle age,caucasian
120,8.566,2012-01-01,not employed,female,senior,caucasian
121,4.459,2012-01-01,employed,male,senior,caucasian
122,14.435,2012-01-01,not employed,male,senior,caucasian
123,4.459,2012-01-01,employed,male,middle age,aboriginal
124,19.772,2012-01-01,not employed,female,middle age,aboriginal
125,14.422,2012-01-01,not employed,female,senior,visible minority
126,10.641,2012-02-01,not employed,male,middle age,caucasian
127,27.094,2012-02-01,employed,female,senior,visible minority
128,3.836,2012-02-01,not employed,female,middle age,caucasian
129,8.472,2012-02-01,not employed,female,middle age,visible minority
130,8.472,2012-02-01,not employed,male,middle age,visible minority
131,3.836,2012-02-01,employed,female,middle age,caucasian
132,10.641,2012-02-01,employed,female,senior,caucasian
133,22.521,2012-02-01,employed,female,youth,caucasian
134,22.521,2012-02-01,not employed,female,middle age,visible minority
135,3.836,2012-02-01,not employed,female,middle age,visible minority
136,40.053,2012-03-01,not employed,female,middle age,caucasian
137,3.235,2012-03-01,employed,male,senior,caucasian
138,55.387,2012-03-01,employed,female,middle age,caucasian
139,40.385,2012-03-01,employed,male,senior,caucasian
140,3.235,2012-03-01,employed,female,middle age,aboriginal
141,18.827,2012-03-01,employed,female,youth,visible minority
142,10.468,2012-03-01,employed,female,senior,aboriginal
143,3.235,2012-03-01,not employed,female,middle age,visible minority
144,5.533,2012-03-01,employed,male,middle age,caucasian
145,3.235,2012-03-01,not employed,female,senior,caucasian
146,8.812,2012-04-01,employed,male,middle age,aboriginal
147,14.665,2012-04-01,employed,female,senior,aboriginal
148,8.812,2012-04-01,employed,male,senior,visible minority
149,11.232,2012-04-01,employed,female,middle age,caucasian
150,9.609,2012-04-01,employed,male,senior,caucasian
151,22.921,2012-04-01,NA,male,middle age,caucasian
152,14.665,2012-04-01,employed,female,youth,caucasian
153,14.534,2012-04-01,not employed,female,middle age,visible minority
154,14.665,2012-04-01,not employed,male,youth,caucasian
155,13.747,2012-05-01,employed,female,senior,caucasian
156,9.846,2012-05-01,not employed,male,youth,caucasian
157,7.705,2012-05-01,employed,male,middle age,caucasian
158,9.857,2012-05-01,NA,female,middle age,visible minority
159,36.389,2012-05-01,employed,female,middle age,caucasian
160,9.862,2012-05-01,employed,female,middle age,visible minority
161,12.508,2012-05-01,not employed,male,middle age,caucasian
162,9.889,2012-05-01,not employed,female,middle age,caucasian
163,15.011,2012-05-01,not employed,male,senior,NA
164,4.358,2012-06-01,NA,female,middle age,aboriginal
165,22.9,2012-06-01,employed,male,youth,caucasian
166,11.196,2012-06-01,employed,male,middle age,caucasian
167,9.605,2012-06-01,NA,female,senior,caucasian
168,45.006,2012-06-01,employed,male,youth,visible minority
169,5.089,2012-06-01,employed,male,middle age,caucasian
170,5.905,2011-01-01,employed,male,senior,NA
171,5.905,2011-01-01,employed,male,middle age,caucasian
172,21.86,2011-01-01,employed,female,middle age,caucasian
173,21.86,2011-01-01,not employed,male,middle age,caucasian
174,21.86,2011-01-01,not employed,male,middle age,caucasian
175,26.425,2011-01-01,not employed,female,middle age,caucasian
176,5.709,2012-06-01,employed,male,middle age,visible minority
177,4.358,2012-06-01,employed,male,middle age,visible minority
178,11.196,2012-06-01,not employed,female,senior,caucasian
179,22.9,2012-06-01,not employed,male,middle age,caucasian
180,4.358,2012-06-01,not employed,female,senior,aboriginal
181,3.359,2012-07-01,not employed,female,middle age,caucasian
182,6.523,2012-07-01,employed,female,senior,caucasian
183,10.073,2012-07-01,employed,male,middle age,caucasian
184,10.073,2012-07-01,employed,female,youth,visible minority
185,10.073,2012-07-01,employed,female,middle age,caucasian
186,10.068,2012-07-01,not employed,male,middle age,caucasian
187,3.359,2012-07-01,NA,female,middle age,visible minority
188,10.036,2012-07-01,not employed,male,middle age,caucasian
189,3.359,2012-07-01,employed,female,senior,caucasian
190,7.583,2012-07-01,not employed,male,senior,visible minority
191,10.073,2012-07-01,employed,male,middle age,aboriginal
192,26.454,2011-01-01,not employed,male,middle age,caucasian
193,5.905,2011-01-01,employed,female,middle age,visible minority
194,26.425,2011-01-01,employed,female,middle age,caucasian
195,5.905,2011-01-01,not employed,male,middle age,caucasian
196,26.478,2011-01-01,employed,male,senior,caucasian
197,21.86,2011-01-01,employed,female,senior,caucasian
198,5.905,2011-01-01,NA,male,middle age,caucasian
199,26.365,2011-01-01,employed,female,middle age,caucasian
200,30.388,2011-02-01,not employed,female,middle age,caucasian
201,30.388,2011-02-01,not employed,male,middle age,NA
202,7.838,2011-02-01,employed,female,middle age,visible minority
203,7.838,2011-02-01,employed,female,youth,aboriginal
204,30.341,2011-02-01,employed,female,senior,visible minority
205,30.341,2011-02-01,employed,female,middle age,caucasian
206,30.459,2011-02-01,employed,male,middle age,caucasian
207,7.838,2011-02-01,not employed,female,middle age,caucasian
208,18.395,2011-03-01,NA,female,middle age,visible minority
209,18.395,2011-03-01,employed,male,senior,caucasian
210,4.348,2011-03-01,not employed,female,middle age,aboriginal
211,4.348,2011-03-01,employed,female,middle age,caucasian
212,18.436,2011-03-01,employed,male,middle age,caucasian
213,18.26,2011-03-01,not employed,male,middle age,caucasian
214,14.577,2012-08-01,not employed,female,middle age,caucasian
215,7.292,2012-08-01,not employed,female,middle age,caucasian
216,16.544,2012-08-01,not employed,female,senior,visible minority
217,15.678,2012-08-01,not employed,male,middle age,caucasian
218,3.864,2012-08-01,NA,female,senior,caucasian
219,12.275,2012-09-01,NA,male,middle age,caucasian
220,6.889,2012-09-01,not employed,female,youth,caucasian
221,18.478,2011-03-01,employed,female,middle age,caucasian
222,18.395,2011-03-01,not employed,male,middle age,caucasian
223,18.26,2011-03-01,employed,female,middle age,caucasian
224,4.348,2011-03-01,employed,female,middle age,aboriginal
225,18.395,2011-03-01,not employed,female,middle age,aboriginal
226,18.348,2011-03-01,employed,male,middle age,visible minority
227,18.348,2011-03-01,not employed,male,middle age,caucasian
228,17.592,2011-04-01,NA,female,middle age,visible minority
229,6.477,2011-04-01,employed,female,youth,visible minority
230,17.592,2011-04-01,employed,male,middle age,caucasian
231,16.704,2011-04-01,not employed,male,middle age,aboriginal
232,16.471,2011-04-01,employed,male,middle age,caucasian
233,16.918,2011-04-01,employed,female,senior,caucasian
234,6.477,2011-04-01,not employed,female,middle age,caucasian
235,6.477,2011-04-01,employed,female,youth,NA
236,17.592,2011-04-01,employed,male,youth,caucasian
237,16.348,2011-04-01,not employed,female,middle age,aboriginal
238,16.704,2011-04-01,not employed,male,middle age,caucasian
239,18.539,2012-09-01,employed,female,middle age,caucasian
240,18.539,2012-09-01,employed,female,middle age,caucasian
241,4.635,2012-09-01,not employed,female,middle age,caucasian
242,31.798,2012-09-01,not employed,female,senior,caucasian
243,16.06,2012-10-01,employed,male,senior,caucasian
244,32.88,2012-10-01,not employed,female,middle age,NA
245,20.941,2012-10-01,not employed,female,middle age,caucasian
246,16.083,2012-10-01,not employed,female,middle age,caucasian
247,3.859,2012-10-01,not employed,female,middle age,caucasian
248,3.859,2012-10-01,employed,female,middle age,caucasian
249,6.231,2012-10-01,not employed,female,middle age,caucasian
250,28.332,2011-05-01,employed,male,youth,visible minority
251,6.205,2011-05-01,employed,female,senior,caucasian
252,28.153,2011-05-01,employed,male,middle age,caucasian
253,28.243,2011-05-01,employed,female,senior,caucasian
254,6.205,2011-05-01,employed,male,middle age,caucasian
255,28.332,2011-05-01,not employed,male,senior,caucasian
256,28.332,2011-05-01,employed,male,youth,caucasian
257,28.332,2011-05-01,not employed,female,middle age,caucasian
258,27.999,2011-05-01,employed,female,middle age,caucasian
259,28.243,2011-05-01,employed,female,middle age,caucasian
260,15.343,2011-06-01,employed,female,senior,visible minority
261,4.091,2011-06-01,employed,female,youth,caucasian
262,31.938,2011-06-01,not employed,female,middle age,caucasian
263,15.343,2011-06-01,employed,male,middle age,visible minority
264,32.412,2011-06-01,not employed,female,middle age,aboriginal
265,8.631,2011-06-01,employed,female,middle age,NA
266,8.298,2011-07-01,employed,female,senior,visible minority
267,8.298,2011-07-01,not employed,female,middle age,aboriginal
268,3.872,2011-07-01,not employed,female,middle age,NA
269,24.115,2011-07-01,employed,female,middle age,visible minority
270,8.298,2011-07-01,not employed,female,middle age,visible minority
271,51.677,2011-07-01,employed,male,middle age,caucasian
272,5.158,2012-10-01,NA,female,middle age,caucasian
273,4.344,2012-11-01,employed,female,senior,caucasian
274,4.344,2012-11-01,employed,male,middle age,visible minority
275,13.44,2012-11-01,employed,female,middle age,visible minority
276,4.085,2012-11-01,not employed,male,youth,caucasian
277,7.441,2012-11-01,employed,female,middle age,caucasian
278,4.344,2012-11-01,not employed,male,senior,caucasian
279,4.085,2012-11-01,employed,male,middle age,caucasian
280,4.085,2012-11-01,employed,female,middle age,NA
281,7.441,2012-11-01,employed,male,middle age,caucasian
282,4.344,2012-11-01,not employed,female,youth,caucasian
283,13.44,2012-11-01,not employed,female,senior,caucasian
284,4.085,2012-11-01,employed,female,middle age,caucasian
285,4.344,2012-11-01,not employed,male,senior,visible minority
286,3.872,2011-07-01,not employed,male,middle age,caucasian
287,51.677,2011-07-01,not employed,female,senior,caucasian
288,46.867,2011-08-01,employed,female,middle age,caucasian
289,56.337,2011-08-01,not employed,female,middle age,caucasian
290,4.053,2011-08-01,employed,female,middle age,visible minority
291,46.867,2011-08-01,employed,male,senior,visible minority
292,46.867,2011-08-01,not employed,female,middle age,caucasian
293,20.266,2011-08-01,employed,female,middle age,aboriginal
294,45.973,2011-08-01,NA,female,middle age,aboriginal
295,11.317,2011-08-01,not employed,female,middle age,aboriginal
296,11.317,2011-08-01,employed,female,middle age,caucasian
297,56.405,2011-08-01,employed,female,middle age,visible minority
298,20.063,2011-08-01,employed,female,middle age,aboriginal
299,26.4,2011-09-01,employed,female,middle age,caucasian
300,26.4,2011-09-01,employed,female,middle age,visible minority
301,4.085,2012-11-01,not employed,female,middle age,caucasian
302,13.44,2012-11-01,employed,male,middle age,caucasian
303,13.44,2012-11-01,not employed,male,middle age,caucasian
304,7.441,2012-11-01,employed,female,middle age,caucasian
305,4.344,2012-11-01,not employed,male,middle age,aboriginal
306,7.441,2012-11-01,not employed,male,middle age,caucasian
307,4.085,2012-11-01,employed,female,middle age,caucasian
308,4.942,2012-12-01,not employed,male,youth,aboriginal
309,12.293,2012-12-01,not employed,male,senior,caucasian
310,6.323,2012-12-01,not employed,female,middle age,caucasian
311,5.289,2012-12-01,employed,female,middle age,caucasian
312,10.283,2012-12-01,not employed,male,middle age,visible minority
313,7.904,2012-12-01,employed,female,senior,caucasian
314,5.289,2012-12-01,employed,female,middle age,caucasian
315,37.841,2011-09-01,employed,male,middle age,caucasian
316,26.518,2011-09-01,not employed,male,middle age,visible minority
317,5.117,2011-09-01,not employed,female,middle age,NA
318,26.4,2011-09-01,employed,male,middle age,caucasian
319,38.498,2011-09-01,employed,female,senior,visible minority
320,7.462,2011-09-01,employed,male,middle age,caucasian
321,38.946,2011-09-01,not employed,male,middle age,aboriginal
322,6.178,2012-12-01,employed,male,middle age,caucasian
323,4.942,2012-12-01,NA,male,senior,caucasian
324,10.283,2012-12-01,employed,female,senior,caucasian
325,8.908,2012-12-01,not employed,female,senior,caucasian
326,6.277,2013-01-01,employed,female,middle age,caucasian
327,3.913,2013-01-01,employed,female,middle age,visible minority
328,3.913,2013-01-01,NA,female,senior,caucasian
329,6.54,2013-01-01,not employed,male,middle age,visible minority
330,8.951,2013-01-01,not employed,female,middle age,caucasian
331,4.077,2013-01-01,employed,female,middle age,visible minority
332,5.593,2013-01-01,employed,male,middle age,caucasian
333,9.934,2011-10-01,not employed,female,middle age,caucasian
334,11.624,2011-10-01,not employed,female,senior,aboriginal
335,20.423,2011-10-01,employed,female,senior,caucasian
336,24.302,2011-10-01,not employed,female,middle age,visible minority
337,12.151,2011-10-01,not employed,female,middle age,caucasian
338,4.752,2011-10-01,not employed,female,middle age,caucasian
339,20.423,2011-10-01,employed,male,youth,caucasian
340,4.627,2011-10-01,not employed,male,youth,caucasian
341,4.657,2011-10-01,not employed,female,middle age,visible minority
342,9.245,2011-10-01,employed,male,middle age,visible minority
343,31.848,2011-10-01,not employed,female,senior,caucasian
344,21.89,2011-10-01,not employed,female,middle age,caucasian
345,4.752,2011-10-01,employed,male,middle age,visible minority
346,8.895,2011-11-01,not employed,female,senior,visible minority
347,14.175,2011-11-01,not employed,male,youth,visible minority
348,17.773,2011-11-01,not employed,female,middle age,caucasian
349,40.65,2011-11-01,not employed,female,middle age,aboriginal
350,10.973,2011-11-01,not employed,female,senior,caucasian
351,11.473,2011-11-01,employed,male,middle age,caucasian
352,40.65,2011-11-01,employed,male,senior,visible minority
353,6.277,2013-01-01,employed,male,middle age,caucasian
354,4.077,2013-01-01,NA,male,senior,visible minority
355,6.277,2013-01-01,NA,male,youth,caucasian
356,18.121,2013-01-01,not employed,female,middle age,visible minority
357,3.913,2013-01-01,employed,male,middle age,aboriginal
358,3.913,2013-01-01,employed,female,middle age,caucasian
359,11.208,2013-01-01,employed,female,middle age,caucasian
360,5.593,2013-01-01,not employed,female,youth,caucasian
361,5.593,2013-01-01,NA,female,middle age,visible minority
362,3.913,2013-01-01,employed,male,middle age,caucasian
363,4.077,2013-01-01,employed,male,middle age,caucasian
364,6.687,2013-02-01,employed,male,middle age,caucasian
365,6.687,2013-02-01,employed,male,middle age,caucasian
366,3.816,2013-02-01,not employed,female,senior,caucasian
367,3.816,2013-02-01,employed,male,middle age,caucasian
368,6.687,2013-02-01,not employed,female,senior,caucasian
369,21.959,2011-11-01,not employed,female,middle age,visible minority
370,10.973,2011-11-01,not employed,male,middle age,visible minority
371,11.473,2011-11-01,employed,female,middle age,caucasian
372,20.321,2011-11-01,not employed,male,youth,visible minority
373,20.321,2011-11-01,not employed,female,middle age,caucasian
374,13.502,2011-11-01,not employed,male,senior,caucasian
375,11.473,2011-11-01,employed,female,middle age,visible minority
376,17.267,2011-11-01,employed,male,senior,visible minority
377,14.175,2011-11-01,not employed,female,middle age,aboriginal
378,16.448,2011-12-01,employed,male,youth,visible minority
379,16.416,2011-12-01,employed,female,senior,NA
380,16.427,2011-12-01,not employed,female,senior,visible minority
381,16.368,2011-12-01,not employed,female,middle age,caucasian
382,16.459,2011-12-01,not employed,male,middle age,caucasian
383,16.475,2011-12-01,employed,female,senior,caucasian
384,16.475,2011-12-01,employed,male,senior,caucasian
385,16.368,2011-12-01,not employed,female,middle age,visible minority
386,5.356,2011-12-01,employed,male,middle age,caucasian
387,16.368,2011-12-01,employed,female,youth,caucasian
388,16.416,2011-12-01,not employed,male,middle age,caucasian
389,16.475,2011-12-01,employed,male,middle age,NA
390,5.356,2011-12-01,employed,male,middle age,visible minority
391,24.215,2013-02-01,employed,female,middle age,aboriginal
392,24.215,2013-02-01,not employed,female,middle age,caucasian
393,3.816,2013-02-01,not employed,male,youth,aboriginal
394,4.259,2013-02-01,employed,female,senior,visible minority
395,5.992,2013-02-01,employed,male,middle age,caucasian
396,24.409,2013-02-01,employed,female,senior,caucasian
397,24.215,2013-02-01,not employed,male,youth,caucasian
398,3.816,2013-02-01,not employed,male,senior,caucasian
399,5.731,2013-03-01,not employed,male,middle age,caucasian
400,4.608,2013-03-01,NA,female,middle age,caucasian
401,5.731,2013-03-01,not employed,male,youth,caucasian
402,12.106,2013-03-01,employed,female,middle age,caucasian
403,5.731,2013-03-01,not employed,female,senior,caucasian
404,6.585,2013-03-01,not employed,male,middle age,caucasian
405,3.771,2013-03-01,employed,male,middle age,caucasian
406,16.459,2011-12-01,not employed,male,youth,caucasian
407,16.475,2011-12-01,not employed,female,middle age,caucasian
408,16.448,2011-12-01,not employed,female,middle age,caucasian
409,16.368,2011-12-01,employed,female,middle age,caucasian
410,5.356,2011-12-01,employed,female,middle age,aboriginal
411,14.422,2012-01-01,employed,male,middle age,caucasian
412,4.459,2012-01-01,NA,female,senior,caucasian
413,27.729,2012-01-01,employed,male,middle age,visible minority
414,48.349,2012-01-01,employed,female,senior,visible minority
415,6.108,2012-01-01,not employed,male,middle age,NA
416,4.459,2012-01-01,employed,male,middle age,caucasian
417,8.566,2012-01-01,not employed,male,youth,caucasian
418,4.459,2012-01-01,not employed,male,senior,aboriginal
419,14.435,2012-01-01,employed,male,middle age,caucasian
420,48.969,2012-01-01,not employed,male,middle age,caucasian
421,29.19,2013-03-01,employed,female,middle age,visible minority
422,11.921,2013-03-01,not employed,female,middle age,caucasian
423,6.687,2013-03-01,employed,female,middle age,aboriginal
424,9.427,2013-04-01,not employed,male,middle age,caucasian
425,4.067,2013-04-01,not employed,male,middle age,caucasian
426,17.298,2013-04-01,employed,female,senior,caucasian
427,4.067,2013-04-01,employed,male,middle age,caucasian
428,5.194,2013-04-01,not employed,male,middle age,visible minority
429,7.382,2013-04-01,not employed,female,middle age,caucasian
430,17.298,2013-04-01,employed,female,youth,caucasian
431,4.067,2013-04-01,employed,female,senior,aboriginal
432,5.745,2013-04-01,employed,male,middle age,caucasian
433,6.219,2013-04-01,not employed,male,middle age,visible minority
434,6.983,2012-02-01,employed,female,middle age,caucasian
435,27.154,2012-02-01,not employed,male,senior,caucasian
436,12.296,2012-02-01,not employed,female,senior,caucasian
437,26.789,2012-02-01,employed,female,middle age,caucasian
438,22.186,2012-02-01,employed,male,middle age,caucasian
439,27.154,2012-02-01,employed,female,middle age,caucasian
440,40.097,2012-03-01,employed,male,youth,visible minority
441,10.382,2012-03-01,not employed,male,middle age,caucasian
442,19.03,2012-03-01,not employed,female,middle age,visible minority
443,1.121,2013-05-01,NA,male,senior,caucasian
444,5.75,2013-05-01,employed,male,senior,visible minority
445,7.671,2013-05-01,employed,female,middle age,visible minority
446,1.121,2013-05-01,not employed,female,middle age,caucasian
447,5.517,2013-05-01,employed,male,middle age,caucasian
448,5.75,2013-05-01,employed,female,middle age,caucasian
449,5.672,2013-05-01,employed,male,middle age,caucasian
450,8.785,2013-05-01,not employed,female,senior,caucasian
451,13.272,2013-05-01,not employed,female,middle age,caucasian
452,5.277,2013-05-01,not employed,female,youth,caucasian
453,13.272,2013-05-01,not employed,female,middle age,caucasian
454,10.468,2012-03-01,not employed,male,middle age,caucasian
455,19.866,2012-03-01,not employed,male,middle age,caucasian
456,8.428,2012-04-01,employed,female,middle age,caucasian
457,9.609,2012-04-01,not employed,female,senior,caucasian
458,2.379,2012-04-01,not employed,female,middle age,visible minority
459,14.665,2012-04-01,employed,female,middle age,caucasian
460,17.556,2012-04-01,not employed,female,middle age,caucasian
461,5.638,2012-04-01,employed,male,middle age,caucasian
462,9.609,2012-04-01,employed,male,youth,caucasian
463,1.152,2013-05-01,not employed,male,middle age,aboriginal
464,7.671,2013-05-01,not employed,male,youth,caucasian
465,6.435,2013-06-01,employed,male,middle age,caucasian
466,6.435,2013-06-01,employed,female,middle age,visible minority
467,6.435,2013-06-01,not employed,female,youth,caucasian
468,6.435,2013-06-01,employed,female,middle age,aboriginal
469,4.965,2013-06-01,not employed,female,middle age,caucasian
470,8.295,2013-06-01,NA,female,middle age,visible minority
471,4.965,2013-06-01,not employed,female,middle age,visible minority
472,6.435,2013-06-01,employed,male,middle age,aboriginal
473,8.302,2013-06-01,employed,male,middle age,caucasian
474,10.158,2013-06-01,not employed,female,youth,visible minority
475,4.965,2013-06-01,employed,female,middle age,caucasian
476,8.302,2013-06-01,NA,female,middle age,caucasian
477,8.192,2013-06-01,employed,female,middle age,aboriginal
478,5.274,2012-05-01,employed,male,senior,caucasian
479,7.743,2012-05-01,employed,male,middle age,caucasian
480,9.889,2012-05-01,not employed,female,middle age,aboriginal
481,15.019,2012-05-01,not employed,female,middle age,visible minority
482,9.16,2012-05-01,not employed,female,middle age,caucasian
483,4.123,2012-05-01,not employed,male,middle age,caucasian
484,9.862,2012-05-01,employed,male,middle age,visible minority
485,9.889,2012-05-01,not employed,male,middle age,visible minority
486,9.15,2012-05-01,not employed,male,senior,aboriginal
487,4.123,2012-05-01,not employed,male,middle age,caucasian
488,4.123,2012-05-01,employed,female,middle age,caucasian
489,7.743,2012-05-01,not employed,female,senior,visible minority
490,7.73,2012-05-01,not employed,female,middle age,aboriginal
491,5.709,2012-06-01,NA,female,middle age,caucasian
492,5.709,2012-06-01,not employed,male,middle age,aboriginal
493,4.358,2012-06-01,employed,male,middle age,caucasian
494,5.709,2012-06-01,employed,male,youth,visible minority
495,12.561,2012-06-01,employed,female,middle age,aboriginal
496,10.294,2013-06-01,employed,female,senior,visible minority
497,10.286,2013-06-01,employed,male,middle age,visible minority
498,7.979,2013-06-01,employed,male,middle age,caucasian
499,10.294,2013-06-01,employed,female,youth,caucasian
500,46.111,2013-07-01,employed,male,youth,caucasian
501,4.95,2013-07-01,not employed,male,middle age,visible minority
502,4.95,2013-07-01,not employed,male,youth,caucasian
503,46.111,2013-07-01,not employed,female,youth,caucasian
504,11.549,2013-07-01,not employed,male,youth,caucasian
505,4.95,2013-07-01,not employed,female,middle age,caucasian
506,10.485,2013-07-01,not employed,male,senior,caucasian
507,3.565,2013-07-01,not employed,male,senior,caucasian
508,21.771,2013-07-01,employed,male,middle age,visible minority
509,3.565,2013-07-01,employed,female,middle age,caucasian
510,3.565,2013-07-01,employed,female,middle age,caucasian
511,3.565,2013-07-01,not employed,female,youth,NA
512,3.565,2013-07-01,not employed,male,middle age,caucasian
513,10.485,2013-07-01,not employed,male,middle age,caucasian
514,11.549,2013-07-01,employed,male,middle age,caucasian
