id,weight,date,employed,race,age,earnings,gender
110,18.881,2012-03-01,not employed,caucasian,senior,NA,female
111,5.533,2012-03-01,employed,caucasian,youth,NA,female
112,10.382,2012-03-01,employed,caucasian,youth,NA,female
113,55.387,2012-03-01,not employed,caucasian,middle age,NA,female
114,10.468,2012-03-01,not employed,aboriginal,middle age,2080,female
115,10.382,2012-03-01,employed,visible minority,middle age,NA,male
116,55.387,2012-03-01,employed,caucasian,youth,NA,male
117,9.609,2012-04-01,not employed,visible minority,middle age,NA,female
118,14.665,2012-04-01,not employed,caucasian,senior,NA,male
119,8.812,2012-04-01,employed,caucasian,middle age,NA,female
120,9.609,2012-04-01,employed,caucasian,middle age,NA,female
121,8.812,2012-04-01,NA,aboriginal,middle age,2145,male
122,2.379,2012-04-01,employed,aboriginal,senior,4000,female
123,14.665,2012-04-01,not employed,aboriginal,youth,NA,male
124,14.665,2012-04-01,employed,caucasian,middle age,NA,male
125,15.084,2012-05-01,not employed,aboriginal,senior,1733.3333333333333,male
126,12.508,2012-05-01,employed,aboriginal,youth,5200,male
127,4.123,2012-05-01,not employed,aboriginal,middle age,693.3333333333334,male
128,4.123,2012-05-01,employed,NA,youth,2860,female
129,13.747,2012-05-01,employed,visible minority,middle age,2808,female
130,7.697,2012-05-01,employed,visible minority,youth,1500,male
131,9.15,2012-05-01,not employed,visible minority,youth,1906.6666666666667,male
132,9.857,2012-05-01,employed,caucasian,senior,NA,male
133,13.725,2012-05-01,not employed,NA,middle age,3600,female
134,9.862,2012-05-01,employed,caucasian,senior,NA,female
135,7.73,2012-05-01,employed,caucasian,youth,1092,female
136,7.743,2012-05-01,NA,caucasian,middle age,NA,female
137,11.226,2012-06-01,employed,aboriginal,middle age,NA,male
138,9.614,2012-06-01,employed,caucasian,middle age,NA,male
139,9.614,2012-06-01,employed,visible minority,senior,NA,female
140,99.193,2012-06-01,NA,caucasian,senior,NA,male
141,14.685,2012-06-01,employed,caucasian,middle age,2600,female
142,5.709,2012-06-01,employed,visible minority,youth,NA,female
143,5.709,2012-06-01,not employed,caucasian,middle age,1400,male
144,5.709,2012-06-01,employed,aboriginal,youth,NA,male
145,9.605,2012-06-01,not employed,caucasian,middle age,2634.6666666666665,male
146,4.358,2012-06-01,not employed,visible minority,youth,NA,male
147,12.561,2012-06-01,employed,caucasian,senior,NA,male
148,11.226,2012-06-01,not employed,visible minority,middle age,953.3333333333334,female
149,5.709,2012-06-01,not employed,caucasian,middle age,780,female
150,11.226,2012-06-01,not employed,caucasian,senior,3250,female
151,41.357,2012-07-01,not employed,caucasian,senior,NA,male
152,10.135,2012-07-01,not employed,aboriginal,middle age,NA,male
153,3.359,2012-07-01,not employed,caucasian,middle age,NA,male
154,22.134,2012-07-01,not employed,caucasian,middle age,3120,male
155,3.359,2012-07-01,not employed,caucasian,middle age,NA,female
156,6.567,2012-07-01,not employed,caucasian,senior,NA,female
157,7.583,2012-07-01,not employed,caucasian,middle age,3250,female
158,6.523,2012-07-01,employed,caucasian,middle age,7267.91,female
159,22.134,2012-07-01,not employed,visible minority,youth,NA,female
160,22.271,2012-07-01,not employed,caucasian,youth,2253.3333333333335,male
161,10.073,2012-07-01,not employed,caucasian,middle age,NA,male
162,10.073,2012-07-01,employed,caucasian,middle age,NA,male
163,7.583,2012-07-01,employed,caucasian,senior,NA,female
164,3.359,2012-07-01,employed,caucasian,senior,NA,female
165,22.123,2012-07-01,employed,caucasian,senior,5416.666666666667,female
166,10.068,2012-07-01,NA,caucasian,youth,NA,female
167,14.97,2012-08-01,employed,caucasian,youth,3466.6666666666665,female
168,7.725,2012-08-01,NA,caucasian,middle age,2990,male
169,14.97,2012-08-01,not employed,caucasian,senior,NA,male
170,17.34,2012-08-01,employed,caucasian,youth,2738.6666666666665,male
171,14.97,2012-08-01,employed,caucasian,senior,NA,male
172,14.577,2012-08-01,employed,caucasian,middle age,2080,female
173,18.242,2012-09-01,employed,visible minority,middle age,NA,female
174,12.275,2012-09-01,not employed,caucasian,youth,NA,female
175,20.677,2012-09-01,not employed,caucasian,senior,NA,male
176,12.275,2012-09-01,not employed,caucasian,senior,NA,female
177,18.539,2012-09-01,employed,aboriginal,senior,756.5999999999999,female
178,6.889,2012-09-01,employed,NA,youth,1295.6666666666667,female
179,21.013,2012-09-01,employed,caucasian,senior,NA,female
180,6.889,2012-09-01,employed,caucasian,middle age,NA,male
181,10.157,2012-09-01,not employed,caucasian,middle age,NA,female
182,18.242,2012-09-01,employed,caucasian,senior,NA,male
183,32.88,2012-10-01,NA,caucasian,youth,5958.333333333333,female
184,32.88,2012-10-01,not employed,caucasian,youth,2080,male
185,20.941,2012-10-01,NA,caucasian,middle age,NA,male
186,15.724,2012-10-01,employed,aboriginal,senior,NA,male
187,5.158,2012-10-01,employed,caucasian,middle age,4446,female
188,4.085,2012-11-01,not employed,caucasian,middle age,650,female
189,4.344,2012-11-01,not employed,NA,youth,3120,male
190,13.44,2012-11-01,not employed,aboriginal,middle age,NA,female
191,4.085,2012-11-01,employed,caucasian,middle age,NA,male
192,13.44,2012-11-01,employed,caucasian,middle age,NA,male
193,4.344,2012-11-01,employed,aboriginal,youth,1906.6666666666667,female
194,4.344,2012-11-01,not employed,caucasian,middle age,NA,female
195,4.085,2012-11-01,employed,NA,youth,NA,female
196,4.344,2012-11-01,employed,caucasian,middle age,NA,male
197,4.085,2012-11-01,not employed,caucasian,middle age,NA,male
198,4.085,2012-11-01,employed,caucasian,senior,1222,male
199,4.085,2012-11-01,employed,caucasian,middle age,2405,female
200,4.344,2012-11-01,employed,caucasian,middle age,NA,male
201,4.085,2012-11-01,not employed,visible minority,senior,1495,female
202,4.344,2012-11-01,not employed,caucasian,middle age,4333.333333333333,female
203,7.441,2012-11-01,employed,caucasian,middle age,NA,female
204,4.085,2012-11-01,employed,caucasian,senior,2833.3333333333335,female
205,13.44,2012-11-01,employed,caucasian,senior,NA,female
206,4.344,2012-11-01,employed,caucasian,middle age,NA,female
207,5.289,2012-12-01,not employed,aboriginal,middle age,5200,female
208,8.908,2012-12-01,not employed,visible minority,middle age,NA,male
209,6.178,2012-12-01,employed,visible minority,middle age,3293.3333333333335,male
210,10.283,2012-12-01,not employed,caucasian,middle age,NA,male
211,6.323,2012-12-01,not employed,visible minority,middle age,NA,female
212,6.323,2012-12-01,not employed,caucasian,middle age,NA,female
213,10.649,2012-12-01,employed,caucasian,middle age,3488.3333333333335,female
214,8.528,2012-12-01,employed,aboriginal,senior,2470,male
215,12.293,2012-12-01,not employed,caucasian,senior,NA,female
216,10.66,2012-12-01,not employed,visible minority,middle age,NA,female
217,8.528,2012-12-01,not employed,caucasian,middle age,NA,male
218,4.942,2012-12-01,not employed,aboriginal,middle age,NA,male
219,8.528,2012-12-01,not employed,caucasian,middle age,NA,female
220,10.283,2012-12-01,not employed,caucasian,middle age,2000.0000000000002,male
221,4.077,2013-01-01,employed,aboriginal,middle age,NA,female
222,36.315,2013-01-01,employed,visible minority,youth,NA,male
223,3.913,2013-01-01,employed,caucasian,middle age,NA,female
224,3.913,2013-01-01,employed,aboriginal,middle age,NA,female
225,5.593,2013-01-01,not employed,visible minority,middle age,NA,female
226,3.913,2013-01-01,employed,aboriginal,middle age,NA,male
227,4.077,2013-01-01,employed,visible minority,senior,NA,female
228,19.783,2013-01-01,not employed,aboriginal,youth,6066.666666666667,female
229,3.847,2013-02-01,not employed,caucasian,youth,2253.3333333333335,female
230,3.847,2013-02-01,employed,visible minority,middle age,1109.3333333333333,male
231,24.215,2013-02-01,employed,caucasian,senior,487.5,male
232,3.816,2013-02-01,NA,caucasian,senior,1358.5,male
233,4.259,2013-02-01,not employed,aboriginal,youth,NA,female
234,4.293,2013-02-01,employed,caucasian,senior,NA,female
235,24.215,2013-02-01,employed,caucasian,senior,NA,female
236,4.259,2013-02-01,employed,aboriginal,middle age,NA,female
237,3.816,2013-02-01,employed,aboriginal,senior,NA,male
238,3.816,2013-02-01,not employed,NA,middle age,NA,male
239,38.098,2013-03-01,not employed,caucasian,youth,NA,female
240,11.921,2013-03-01,employed,caucasian,middle age,NA,male
241,4.608,2013-03-01,not employed,caucasian,youth,NA,male
242,3.771,2013-03-01,not employed,caucasian,middle age,NA,male
243,8.166,2013-03-01,not employed,caucasian,middle age,1950,female
244,5.295,2013-03-01,employed,caucasian,middle age,5200,male
245,9.427,2013-04-01,employed,visible minority,middle age,NA,female
246,4.067,2013-04-01,employed,aboriginal,senior,NA,female
247,5.194,2013-04-01,employed,caucasian,middle age,NA,male
248,6.219,2013-04-01,employed,caucasian,middle age,4810,female
249,4.498,2013-04-01,employed,caucasian,middle age,2184,male
250,4.067,2013-04-01,not employed,caucasian,senior,3200,female
251,7.382,2013-04-01,employed,caucasian,middle age,NA,female
252,7.942,2013-04-01,not employed,aboriginal,middle age,NA,female
253,7.382,2013-04-01,not employed,visible minority,middle age,NA,female
254,15.163,2013-04-01,employed,caucasian,middle age,NA,female
255,9.031,2013-05-01,not employed,caucasian,middle age,350,male
256,13.272,2013-05-01,not employed,visible minority,senior,NA,female
257,5.277,2013-05-01,employed,visible minority,middle age,1765.8333333333333,female
258,5.517,2013-05-01,employed,caucasian,middle age,NA,female
259,8.785,2013-05-01,not employed,caucasian,middle age,1456,female
260,1.121,2013-05-01,not employed,caucasian,youth,NA,female
261,8.785,2013-05-01,employed,visible minority,middle age,NA,male
262,9.031,2013-05-01,employed,visible minority,middle age,3033.3333333333335,female
263,5.517,2013-05-01,not employed,aboriginal,middle age,3000,female
264,9.545,2013-05-01,employed,aboriginal,senior,NA,female
265,7.886,2013-05-01,employed,caucasian,middle age,NA,male
266,5.277,2013-05-01,employed,visible minority,middle age,NA,male
267,15.198,2013-05-01,employed,caucasian,youth,NA,female
268,5.517,2013-05-01,not employed,aboriginal,youth,NA,female
269,5.277,2013-05-01,not employed,caucasian,youth,NA,female
270,8.785,2013-05-01,not employed,visible minority,middle age,NA,male
271,10.286,2013-06-01,not employed,caucasian,middle age,2600,female
272,6.435,2013-06-01,employed,caucasian,senior,49291.666666666664,male
273,10.286,2013-06-01,employed,visible minority,senior,2600,male
274,10.294,2013-06-01,employed,visible minority,senior,3033.3333333333335,male
275,4.965,2013-06-01,not employed,caucasian,middle age,NA,male
276,6.435,2013-06-01,not employed,aboriginal,senior,NA,male
277,8.302,2013-06-01,employed,caucasian,middle age,NA,female
278,4.965,2013-06-01,not employed,caucasian,middle age,NA,female
279,8.192,2013-06-01,employed,caucasian,middle age,NA,female
280,4.965,2013-06-01,not employed,caucasian,middle age,NA,female
281,7.979,2013-06-01,employed,caucasian,middle age,NA,male
282,8.295,2013-06-01,not employed,caucasian,senior,NA,female
283,10.485,2013-07-01,not employed,visible minority,youth,NA,female
284,10.485,2013-07-01,not employed,caucasian,middle age,2708.3333333333335,male
285,9.178,2013-07-01,employed,caucasian,youth,NA,male
286,10.485,2013-07-01,not employed,visible minority,middle age,8493.333333333334,male
287,4.95,2013-07-01,employed,caucasian,middle age,NA,female
288,4.95,2013-07-01,employed,caucasian,middle age,NA,female
289,11.181,2013-07-01,employed,visible minority,middle age,NA,female
290,46.111,2013-07-01,employed,caucasian,middle age,NA,female
291,6.583,2013-08-01,NA,caucasian,middle age,NA,male
292,57.611,2013-08-01,not employed,visible minority,middle age,NA,male
293,8.083,2013-08-01,not employed,caucasian,middle age,NA,female
294,3.33,2013-08-01,not employed,caucasian,youth,NA,male
295,5.198,2013-08-01,employed,caucasian,middle age,NA,male
296,4.368,2013-08-01,NA,caucasian,middle age,16683.333333333332,male
297,6.557,2013-08-01,employed,visible minority,senior,1430,male
298,6.33,2013-08-01,employed,caucasian,senior,NA,male
299,6.583,2013-08-01,not employed,caucasian,middle age,1560,female
300,6.33,2013-08-01,employed,aboriginal,middle age,NA,female
301,6.789,2013-08-01,employed,visible minority,middle age,NA,male
302,5.178,2013-08-01,employed,caucasian,senior,2773.3333333333335,male
303,3.33,2013-08-01,not employed,visible minority,middle age,3131.9166666666665,male
304,189.075,2013-08-01,employed,aboriginal,middle age,4000,male
305,6.557,2013-08-01,employed,caucasian,middle age,NA,female
306,8.434,2013-09-01,not employed,caucasian,middle age,4160,female
307,9.637,2013-09-01,not employed,caucasian,middle age,3466.6666666666665,male
308,4.75,2013-09-01,not employed,caucasian,middle age,715,male
309,21.391,2013-09-01,not employed,caucasian,middle age,NA,female
310,8.434,2013-09-01,employed,visible minority,senior,NA,male
311,11.689,2013-09-01,employed,aboriginal,senior,NA,male
312,4.75,2013-09-01,NA,visible minority,middle age,NA,female
313,4.714,2013-09-01,employed,caucasian,middle age,NA,male
314,3.826,2013-09-01,employed,aboriginal,youth,NA,male
315,3.826,2013-09-01,not employed,visible minority,senior,1000.0000000000001,male
316,7.625,2013-09-01,employed,caucasian,youth,3033.3333333333335,female
317,4.75,2013-09-01,not employed,NA,middle age,NA,female
318,3.826,2013-09-01,employed,caucasian,middle age,NA,female
319,11.689,2013-09-01,NA,caucasian,youth,2773.3333333333335,male
320,4.75,2013-09-01,not employed,caucasian,youth,NA,male
321,5.175,2013-10-01,employed,caucasian,middle age,NA,female
322,13.993,2013-10-01,not employed,aboriginal,middle age,NA,male
323,5.946,2013-10-01,not employed,caucasian,youth,NA,female
324,15.509,2013-10-01,employed,caucasian,middle age,NA,male
325,15.509,2013-10-01,employed,caucasian,youth,NA,female
326,13.993,2013-10-01,employed,caucasian,middle age,NA,female
327,5.175,2013-10-01,employed,caucasian,middle age,NA,female
328,15.509,2013-10-01,not employed,aboriginal,senior,NA,male
329,5.175,2013-10-01,not employed,caucasian,youth,NA,female
330,5.175,2013-10-01,not employed,caucasian,middle age,1430,male
331,6.915,2013-10-01,employed,visible minority,middle age,1733.3333333333333,female
332,6.827,2013-11-01,not employed,caucasian,youth,NA,male
333,9.861,2013-11-01,employed,caucasian,middle age,NA,female
334,17.024,2013-11-01,employed,aboriginal,middle age,2600,female
335,11.715,2013-11-01,not employed,visible minority,youth,NA,female
336,6.666,2013-11-01,not employed,NA,senior,1895.8333333333333,male
337,7.458,2013-11-01,employed,caucasian,senior,3466.6666666666665,female
338,11.349,2013-11-01,employed,caucasian,middle age,NA,male
339,4.972,2013-11-01,employed,caucasian,middle age,NA,female
340,5.833,2013-11-01,employed,visible minority,middle age,NA,female
341,11.715,2013-11-01,employed,aboriginal,middle age,2700,male
342,4.972,2013-11-01,not employed,visible minority,middle age,1386.6666666666667,female
343,3.4,2013-11-01,employed,aboriginal,senior,NA,male
344,3.777,2013-11-01,employed,visible minority,middle age,1352,male
345,22.34,2013-12-01,not employed,visible minority,middle age,NA,male
346,7.257,2013-12-01,not employed,caucasian,senior,1700,female
347,11.125,2013-12-01,not employed,caucasian,youth,NA,female
348,4.571,2013-12-01,employed,caucasian,middle age,NA,male
349,4.342,2013-12-01,not employed,caucasian,senior,NA,male
350,4.342,2013-12-01,employed,caucasian,senior,2600,male
351,8.679,2013-12-01,employed,caucasian,middle age,780,female
352,4.1,2013-12-01,employed,visible minority,middle age,NA,male
353,9.331,2013-12-01,not employed,caucasian,middle age,NA,female
354,11.125,2013-12-01,employed,caucasian,youth,NA,male
355,11.811,2013-12-01,not employed,visible minority,middle age,NA,male
356,4.2,2013-12-01,employed,caucasian,middle age,NA,female
357,4.342,2013-12-01,employed,visible minority,youth,NA,female
358,9.865,2014-01-01,not employed,aboriginal,youth,NA,female
359,20.419,2014-01-01,not employed,caucasian,middle age,NA,male
360,6.44,2014-01-01,not employed,caucasian,senior,NA,female
361,9.159,2014-01-01,not employed,aboriginal,senior,NA,female
362,17.912,2014-01-01,employed,caucasian,middle age,715,female
363,7.297,2014-01-01,employed,visible minority,senior,2087.7999999999997,female
364,14.359,2014-01-01,not employed,caucasian,middle age,NA,female
365,4.297,2014-01-01,NA,caucasian,middle age,NA,male
366,3,2014-01-01,employed,aboriginal,middle age,NA,female
367,12.596,2014-01-01,employed,aboriginal,youth,4008.3333333333335,female
368,16.269,2014-01-01,not employed,caucasian,middle age,NA,female
369,16.326,2014-01-01,employed,caucasian,middle age,1516.6666666666667,female
370,9.159,2014-01-01,not employed,visible minority,senior,520,female
371,9.83,2014-01-01,employed,caucasian,middle age,NA,female
372,6.111,2014-01-01,employed,visible minority,middle age,5460,female
373,8.56,2014-02-01,not employed,caucasian,middle age,2253.3333333333335,female
374,8.56,2014-02-01,not employed,caucasian,senior,450.6666666666667,female
375,5.718,2014-02-01,not employed,aboriginal,senior,NA,male
376,5.718,2014-02-01,NA,caucasian,youth,NA,male
377,8.026,2014-02-01,not employed,caucasian,senior,NA,female
378,5.718,2014-02-01,employed,caucasian,youth,NA,female
379,6.027,2014-02-01,not employed,caucasian,senior,NA,male
380,8.026,2014-02-01,employed,caucasian,youth,NA,female
381,6.027,2014-02-01,employed,visible minority,senior,NA,male
382,8.026,2014-02-01,not employed,caucasian,senior,NA,female
383,8.026,2014-02-01,not employed,caucasian,middle age,NA,female
384,13.818,2014-02-01,not employed,visible minority,middle age,NA,female
385,8.56,2014-02-01,employed,visible minority,middle age,NA,male
386,8.56,2014-02-01,not employed,caucasian,middle age,NA,female
387,7.295,2014-03-01,not employed,caucasian,senior,NA,male
388,5.843,2014-03-01,employed,aboriginal,middle age,2253.3333333333335,male
389,7.295,2014-03-01,not employed,caucasian,senior,NA,male
390,7.295,2014-03-01,employed,caucasian,middle age,6000,male
391,7.295,2014-03-01,employed,aboriginal,senior,866.6666666666666,female
392,7.295,2014-03-01,employed,caucasian,youth,NA,female
393,5.843,2014-03-01,not employed,caucasian,middle age,1768,female
394,7.295,2014-03-01,employed,caucasian,middle age,NA,female
395,7.295,2014-03-01,not employed,caucasian,middle age,NA,male
396,7.295,2014-03-01,not employed,caucasian,middle age,NA,female
397,7.295,2014-03-01,employed,caucasian,middle age,2405,male
398,7.295,2014-03-01,not employed,aboriginal,middle age,NA,female
399,7.295,2014-03-01,NA,visible minority,middle age,NA,male
400,7.295,2014-03-01,employed,caucasian,middle age,NA,male
401,7.295,2014-03-01,employed,aboriginal,middle age,1733.3333333333333,male
402,7.295,2014-03-01,not employed,caucasian,senior,NA,male
403,5.626,2014-04-01,employed,caucasian,youth,NA,male
404,5.626,2014-04-01,employed,visible minority,youth,2652,female
405,5.626,2014-04-01,employed,caucasian,youth,NA,male
406,5.626,2014-04-01,employed,caucasian,middle age,3003,female
407,16.344,2014-04-01,not employed,caucasian,senior,2600,female
408,16.344,2014-04-01,not employed,caucasian,middle age,NA,male
409,5.626,2014-04-01,employed,caucasian,senior,NA,male
410,5.626,2014-04-01,employed,NA,senior,NA,female
411,7,2014-04-01,employed,caucasian,middle age,NA,male
412,5.626,2014-04-01,not employed,visible minority,middle age,NA,male
413,5.626,2014-04-01,employed,visible minority,middle age,4333.333333333333,female
414,5.626,2014-04-01,not employed,caucasian,middle age,NA,male
415,16.344,2014-04-01,not employed,caucasian,middle age,NA,male
416,5.626,2014-04-01,employed,caucasian,middle age,NA,female
417,16.344,2014-04-01,employed,caucasian,youth,NA,male
418,7,2014-04-01,not employed,visible minority,senior,1666.6666666666667,male
419,6.913,2014-05-01,employed,visible minority,senior,2981.3333333333335,female
420,4.494,2014-05-01,employed,visible minority,middle age,NA,female
421,4.494,2014-05-01,employed,caucasian,middle age,NA,male
422,4.494,2014-05-01,not employed,visible minority,middle age,NA,male
423,6.913,2014-05-01,employed,caucasian,middle age,NA,male
424,4.494,2014-05-01,employed,visible minority,middle age,1625,female
425,2.77,2014-05-01,employed,caucasian,middle age,NA,female
426,4.494,2014-05-01,employed,visible minority,middle age,NA,female
427,6.913,2014-05-01,employed,caucasian,senior,NA,female
428,15,2014-05-01,not employed,caucasian,middle age,NA,male
429,4.494,2014-05-01,employed,caucasian,middle age,8666.666666666666,female
430,2.77,2014-05-01,employed,caucasian,senior,1638,female
431,2.77,2014-05-01,not employed,caucasian,senior,1191.6666666666667,male
432,15,2014-05-01,not employed,caucasian,middle age,NA,female
433,4.494,2014-05-01,employed,caucasian,middle age,NA,male
434,4.494,2014-05-01,not employed,visible minority,middle age,NA,female
435,13.625,2014-06-01,employed,visible minority,middle age,NA,female
436,4.4,2014-06-01,not employed,caucasian,middle age,NA,female
437,14.5,2014-06-01,employed,NA,middle age,2340,male
438,6.5,2014-06-01,not employed,aboriginal,youth,NA,male
439,2.142,2014-06-01,employed,caucasian,middle age,3986.6666666666665,male
440,5.478,2014-06-01,employed,NA,youth,1906.6666666666667,male
441,4.4,2014-06-01,employed,caucasian,middle age,NA,female
442,5.5,2014-06-01,employed,caucasian,senior,NA,female
443,6.5,2014-06-01,employed,caucasian,youth,NA,male
444,6.5,2014-06-01,employed,caucasian,youth,NA,male
445,2.142,2014-06-01,employed,aboriginal,middle age,NA,male
446,4.285,2014-06-01,employed,NA,middle age,NA,female
447,8.142,2014-06-01,employed,caucasian,youth,1786.1999999999998,female
448,6.5,2014-06-01,employed,caucasian,middle age,NA,female
449,4.384,2014-07-01,employed,caucasian,senior,2600,female
450,3.372,2014-07-01,employed,caucasian,middle age,NA,female
451,10.538,2014-07-01,employed,visible minority,middle age,NA,male
452,3.372,2014-07-01,employed,caucasian,middle age,NA,female
